timestamp_s,frame_index,box_index,track_id,cx_px,cy_px,w_px,h_px,diameter_px,diameter_cm
3.5528,16,0,-1,70,77,139.79,154.76,147.27,9.1097
3.5528,16,1,-1,420,87,152.18,175.62,163.90,10.1381
3.8226,31,0,-1,83,71,165.58,143.33,154.45,9.5538
4.1349,48,0,-1,9,295,19.34,99.96,59.65,3.6897
4.1554,49,0,2,9,295,19.34,99.96,59.65,3.6897
4.1762,50,0,2,11,290,20.48,107.52,64.00,3.9589
4.1930,51,0,2,10,290,20.83,110.16,65.50,4.0513
4.2143,52,0,2,11,283,22.61,118.51,70.56,4.3643
4.2354,53,0,2,20,291,35.12,132.77,83.94,5.1923
4.2518,54,0,2,19,291,39.31,138.10,88.70,5.4869
4.2722,55,0,2,22,292,41.67,144.90,93.28,5.7700
4.2880,56,0,2,21,291,42.24,147.58,94.91,5.8705
4.3093,57,0,2,20,284,40.76,146.74,93.75,5.7992
4.3278,58,0,2,20,284,40.53,145.89,93.21,5.7656
4.3471,59,0,2,19,287,38.86,146.71,92.79,5.7394
4.3664,60,0,2,19,287,38.72,146.93,92.82,5.7417
4.3865,61,0,2,20,286,40.05,147.19,93.62,5.7910
4.4062,62,0,2,18,284,37.68,148.16,92.92,5.7475
4.4237,63,0,2,18,284,37.85,147.94,92.90,5.7462
4.4435,64,0,2,22,290,42.54,151.05,96.79,5.9872
4.4616,65,0,2,22,290,44.06,152.48,98.27,6.0785
4.4814,66,0,2,20,287,41.78,149.97,95.87,5.9304
4.5005,67,0,2,19,284,38.19,145.44,91.81,5.6792
4.5169,68,0,2,19,284,38.34,143.23,90.79,5.6156
4.5359,69,0,2,19,284,39.61,145.40,92.51,5.7221
4.5519,70,0,2,19,284,39.77,146.09,92.93,5.7484
4.5721,71,0,2,20,286,40.34,145.87,93.10,5.7589
4.5890,72,0,2,20,286,40.59,145.90,93.25,5.7678
4.6073,73,0,2,20,288,40.79,147.44,94.11,5.8215
4.6236,74,0,2,20,288,40.84,148.09,94.46,5.8432
4.6428,75,0,2,20,286,41.07,147.48,94.27,5.8313
4.6596,76,0,2,20,286,41.24,147.32,94.28,5.8319
4.6785,77,0,2,19,283,38.18,144.19,91.19,5.6404
4.6957,78,0,2,19,284,38.01,142.78,90.40,5.5916
4.7137,79,0,2,20,285,39.35,145.38,92.36,5.7132
4.7328,80,0,2,21,288,40.76,147.61,94.18,5.8257
4.7500,81,0,2,21,288,41.45,148.77,95.11,5.8830
4.7702,82,0,2,20,286,40.79,145.73,93.26,5.7685
4.7885,83,0,2,20,286,40.55,144.72,92.64,5.7300
4.8090,84,0,2,19,285,39.67,144.43,92.05,5.6937
4.8271,85,0,2,19,285,39.78,144.27,92.02,5.6922
4.8477,86,0,2,19,285,39.77,144.73,92.25,5.7059
4.8646,87,0,2,19,285,39.72,145.00,92.36,5.7130
4.8825,88,0,2,20,286,39.99,146.58,93.29,5.7703
4.9008,89,0,2,21,287,41.03,148.26,94.64,5.8543
4.9182,90,0,2,21,287,41.53,149.11,95.32,5.8960
4.9386,91,0,2,20,285,40.57,146.10,93.34,5.7734
4.9558,92,0,2,20,286,40.38,144.99,92.68,5.7330
4.9760,93,0,2,19,284,39.45,145.29,92.37,5.7137
4.9959,94,0,2,19,284,39.58,145.29,92.44,5.7177
5.0146,95,0,2,20,286,40.03,145.87,92.95,5.7494
5.0335,96,0,2,21,287,40.56,146.70,93.63,5.7914
5.0508,97,0,2,20,286,40.89,147.29,94.09,5.8199
5.0690,98,0,2,20,286,40.38,145.52,92.95,5.7497
5.0862,99,0,2,20,286,40.21,144.97,92.59,5.7271
5.1052,100,0,2,19,285,39.68,145.26,92.47,5.7196
5.1219,101,0,2,19,285,39.72,145.40,92.56,5.7256
5.1401,102,0,2,20,286,39.76,145.71,92.73,5.7361
5.1564,103,0,2,20,285,39.73,145.85,92.79,5.7393
5.1752,104,0,2,20,287,40.12,146.79,93.45,5.7807
5.1927,105,0,2,20,286,40.30,147.30,93.80,5.8021
5.2117,106,0,2,20,286,40.29,146.06,93.18,5.7634
5.2285,107,0,2,20,286,40.35,145.92,93.14,5.7611
5.2476,108,0,2,19,285,39.77,145.48,92.63,5.7295
5.2652,109,0,2,19,285,39.81,145.26,92.53,5.7237
5.2845,110,0,2,19,285,39.79,145.07,92.43,5.7173
5.3037,111,0,2,20,286,40.07,145.91,92.99,5.7522
5.3201,112,0,2,20,286,40.21,146.30,93.26,5.7685
5.3381,113,0,2,20,286,40.23,146.47,93.35,5.7741
5.3550,114,0,2,20,286,40.26,146.60,93.43,5.7791
5.3734,115,0,2,20,286,40.14,145.22,92.68,5.7330
5.3897,116,0,2,20,286,40.09,144.75,92.42,5.7166
5.4084,117,0,2,19,285,39.67,144.97,92.32,5.7106
5.4254,118,0,2,19,285,39.66,145.00,92.33,5.7112
5.4440,119,0,2,20,286,39.89,145.92,92.91,5.7467
5.4611,120,0,2,20,286,39.95,146.25,93.10,5.7586
5.4807,121,0,2,20,286,40.18,146.04,93.11,5.7592
5.4981,122,0,2,20,286,40.30,146.09,93.20,5.7649
5.5169,123,0,2,20,286,40.19,144.94,92.57,5.7257
5.5365,124,0,2,19,285,39.84,144.96,92.40,5.7156
5.5539,125,0,2,20,285,39.85,144.91,92.38,5.7145
5.5732,126,0,2,20,286,39.86,144.90,92.38,5.7142
5.5911,127,0,2,20,286,39.85,145.14,92.49,5.7212
5.6096,128,0,2,20,286,40.17,145.46,92.82,5.7412
5.6272,129,0,2,20,286,40.41,145.86,93.13,5.7609
5.6467,130,0,2,20,286,40.28,145.46,92.87,5.7447
5.6651,131,0,2,20,286,40.30,145.55,92.92,5.7479
5.6835,132,0,2,20,285,39.97,145.02,92.49,5.7212
5.7023,133,0,2,20,285,39.84,145.03,92.43,5.7174
5.7183,134,0,2,20,285,39.85,145.16,92.51,5.7220
5.7384,135,0,2,20,286,40.05,144.82,92.44,5.7177
5.7571,136,0,2,20,286,40.28,144.84,92.56,5.7253
5.7755,137,0,2,20,286,40.20,145.47,92.84,5.7425
5.7932,138,0,2,20,286,40.28,145.86,93.07,5.7569
5.8092,139,0,2,20,286,40.30,146.00,93.15,5.7619
5.8305,140,0,2,20,286,40.10,145.15,92.62,5.7293
5.8499,141,0,2,19,285,39.81,145.13,92.47,5.7200
5.8687,142,0,2,19,285,39.89,144.93,92.41,5.7161
5.8893,143,0,2,20,285,40.05,145.46,92.76,5.7376
5.9058,144,0,2,20,285,40.05,145.46,92.76,5.7376
5.9247,145,0,2,20,286,40.28,146.21,93.25,5.7678
5.9429,146,0,2,20,286,40.24,144.89,92.57,5.7257
5.9594,147,0,2,20,286,40.24,144.40,92.32,5.7104
5.9784,148,0,2,19,285,39.98,145.09,92.54,5.7240
5.9958,149,0,2,20,285,39.87,145.29,92.58,5.7264
6.0156,150,0,2,20,285,39.86,145.24,92.55,5.7248
6.0356,151,0,2,20,286,40.24,145.58,92.91,5.7469
6.0518,152,0,2,20,286,40.41,145.74,93.08,5.7575
6.0720,153,0,2,20,286,40.31,144.84,92.57,5.7262
6.0893,154,0,2,20,286,40.27,144.50,92.39,5.7146
6.1089,155,0,2,20,285,39.99,144.85,92.42,5.7166
6.1258,156,0,2,20,285,39.85,144.94,92.40,5.7154
6.1447,157,0,2,20,286,39.84,145.01,92.42,5.7169
6.1621,158,0,2,20,286,39.83,145.01,92.42,5.7168
6.1806,159,0,2,20,286,39.96,145.27,92.62,5.7288
6.1998,160,0,2,20,286,40.09,145.11,92.60,5.7280
6.2172,161,0,2,20,286,40.16,145.06,92.61,5.7286
6.2352,162,0,2,20,286,40.14,145.06,92.60,5.7276
6.2520,163,0,2,20,286,40.12,145.04,92.58,5.7265
6.2694,164,0,2,20,286,39.99,145.06,92.53,5.7232
6.2863,165,0,2,20,286,39.93,145.04,92.49,5.7207
6.3041,166,0,2,20,286,39.96,145.10,92.53,5.7236
6.3203,167,0,2,20,286,39.98,145.13,92.56,5.7251
6.3396,168,0,2,20,286,40.13,145.22,92.68,5.7325
6.3563,169,0,2,20,286,40.20,145.28,92.74,5.7366
6.3751,170,0,2,20,286,40.27,145.28,92.77,5.7386
6.3918,171,0,2,20,286,40.29,145.28,92.79,5.7394
6.4101,172,0,2,20,285,40.06,145.28,92.67,5.7320
6.4269,173,0,2,20,285,39.94,145.26,92.60,5.7278
6.4455,174,0,2,20,286,40.13,145.80,92.97,5.7506
6.4636,175,0,2,20,286,40.18,146.01,93.10,5.7587
6.4815,176,0,2,20,286,40.20,146.17,93.19,5.7640
6.4985,177,0,2,20,286,40.21,146.27,93.24,5.7674
6.5171,178,0,2,20,285,40.30,145.76,93.03,5.7545
6.5353,179,0,2,20,286,40.08,145.91,93.00,5.7524
6.5519,180,0,2,20,286,39.96,145.94,92.95,5.7494
6.5698,181,0,2,20,286,40.17,146.09,93.13,5.7605
6.5865,182,0,2,20,286,40.22,146.14,93.18,5.7636
6.6044,183,0,2,20,286,40.32,146.56,93.44,5.7797
6.6205,184,0,2,20,286,40.35,146.76,93.56,5.7871
6.6388,185,0,2,20,285,40.37,147.09,93.73,5.7977
6.6568,186,0,2,20,285,40.35,147.24,93.79,5.8017
6.6753,187,0,2,20,285,40.38,146.30,93.34,5.7736
6.6931,188,0,2,20,286,40.35,145.94,93.14,5.7614
6.7110,189,0,2,20,286,40.44,146.06,93.25,5.7683
6.7283,190,0,2,20,286,40.46,146.11,93.29,5.7703
6.7480,191,0,2,20,286,40.44,145.47,92.96,5.7499
6.7653,192,0,2,20,286,40.43,145.24,92.84,5.7424
6.7825,193,0,2,20,286,40.41,146.01,93.21,5.7656
6.8017,194,0,2,20,286,40.40,146.32,93.36,5.7747
6.8208,195,0,2,20,286,40.39,146.43,93.41,5.7782
6.8386,196,0,2,20,286,40.39,146.48,93.43,5.7794
6.8574,197,0,2,20,286,40.39,146.49,93.44,5.7798
6.8764,198,0,2,20,286,40.39,146.49,93.44,5.7799
6.8952,199,0,2,20,286,40.39,146.49,93.44,5.7799
6.9150,200,0,2,20,286,40.39,146.49,93.44,5.7799
6.9362,201,0,2,20,286,40.39,146.49,93.44,5.7798
6.9544,202,0,2,20,285,40.47,146.95,93.71,5.7965
6.9720,203,0,2,20,285,40.48,147.13,93.80,5.8023
6.9883,204,0,2,20,285,40.49,147.19,93.84,5.8044
7.0065,205,0,2,20,285,40.49,147.21,93.85,5.8051
7.0257,206,0,2,20,285,40.45,146.21,93.33,5.7729
7.0432,207,0,2,20,286,40.49,146.28,93.39,5.7766
7.0606,208,0,2,20,286,40.53,146.34,93.43,5.7795
7.0778,209,0,2,20,286,40.54,146.36,93.45,5.7806
7.0952,210,0,2,20,286,40.55,146.37,93.46,5.7810
7.1107,211,0,2,20,286,40.55,146.38,93.46,5.7812
7.1301,212,0,2,20,286,40.55,146.38,93.46,5.7812
7.1499,213,0,2,20,286,40.55,146.38,93.46,5.7812
7.1689,214,0,2,20,286,40.55,146.38,93.46,5.7812
7.1886,215,0,2,20,286,40.55,146.38,93.46,5.7812
7.2062,216,0,2,20,285,40.41,146.18,93.30,5.7709
7.2234,217,0,2,20,285,40.38,146.12,93.25,5.7679
7.2406,218,0,2,20,285,40.37,146.09,93.23,5.7668
7.2571,219,0,2,20,285,40.36,146.09,93.22,5.7664
7.2771,220,0,2,20,285,40.36,146.08,93.22,5.7663
7.2985,221,0,2,20,285,40.41,145.84,93.12,5.7603
7.3163,222,0,2,20,285,40.49,145.52,93.01,5.7531
7.3359,223,0,2,20,285,40.53,145.40,92.97,5.7505
7.3549,224,0,2,20,285,40.55,145.36,92.95,5.7497
7.3747,225,0,2,20,285,40.55,145.34,92.95,5.7494
7.3950,226,0,2,20,285,40.56,145.34,92.95,5.7494
7.4146,227,0,2,20,285,40.56,145.34,92.95,5.7495
7.4342,228,0,2,20,285,40.56,145.35,92.95,5.7496
7.4534,229,0,2,20,285,40.56,145.35,92.95,5.7496
7.4723,230,0,2,20,285,40.55,145.35,92.95,5.7497
7.4913,231,0,2,20,286,40.35,145.94,93.15,5.7616
7.5083,232,0,2,20,286,40.29,146.17,93.23,5.7667
7.5246,233,0,2,20,286,40.26,146.25,93.26,5.7686
7.5418,234,0,2,20,286,40.26,146.28,93.27,5.7692
7.5577,235,0,2,20,286,40.25,146.29,93.27,5.7695
7.5746,236,0,2,20,286,40.25,146.29,93.27,5.7695
7.5904,237,0,2,20,286,40.25,146.29,93.27,5.7695
7.6093,238,0,2,20,286,40.25,146.29,93.27,5.7694
7.6289,239,0,2,20,286,40.25,146.29,93.27,5.7694
7.6470,240,0,2,20,286,40.26,146.29,93.27,5.7693
7.6675,241,0,2,20,286,40.26,146.28,93.27,5.7693
7.6870,242,0,2,20,286,40.26,146.28,93.27,5.7693
7.7066,243,0,2,20,286,40.26,146.28,93.27,5.7692
7.7283,244,0,2,20,286,40.26,146.28,93.27,5.7692
7.7489,245,0,2,20,286,40.26,146.28,93.27,5.7692
7.7728,246,0,2,51,285,74.52,174.21,124.36,7.6924
7.7937,247,0,2,67,281,101.14,188.41,144.78,8.9554
7.8162,248,0,2,72,294,118.86,185.37,152.12,9.4092
7.8363,249,0,2,68,285,128.07,184.03,156.05,9.6525
7.8522,250,0,2,65,285,131.39,182.98,157.18,9.7226
7.8685,251,0,2,65,286,130.99,182.48,156.73,9.6949
7.8845,252,0,2,65,286,130.81,182.20,156.50,9.6806
7.9038,253,0,2,65,286,130.72,182.01,156.37,9.6721
7.9200,254,0,2,65,286,130.67,181.87,156.27,9.6660
7.9369,255,0,2,65,286,130.63,181.75,156.19,9.6612
7.9542,256,0,2,65,286,130.60,181.65,156.12,9.6571
7.9716,257,0,2,65,286,130.57,181.56,156.07,9.6535
7.9884,258,0,2,65,286,130.55,181.48,156.01,9.6503
8.0071,259,0,2,65,286,130.53,181.41,155.97,9.6475
8.0278,260,0,2,67,283,135.81,186.87,161.34,9.9797
8.0482,261,0,2,89,277,157.96,188.86,173.41,10.7262
8.0677,262,0,2,93,282,174.59,188.74,181.66,11.2370
8.0871,263,0,2,90,282,181.15,188.72,184.94,11.4393
8.1065,264,0,2,94,282,186.31,185.53,185.92,11.5002
8.1233,265,0,2,93,282,186.96,184.34,185.65,11.4837
8.1414,266,0,2,93,283,186.77,183.88,185.33,11.4635
8.1580,267,0,2,93,283,186.69,183.69,185.19,11.4552
8.1779,268,0,2,93,283,186.65,183.62,185.13,11.4516
8.1969,269,0,2,93,283,186.63,183.58,185.10,11.4498
8.2165,270,0,2,93,283,186.62,183.56,185.09,11.4488
8.2361,271,0,2,93,283,186.61,183.55,185.08,11.4481
8.2565,272,0,2,93,283,186.60,183.54,185.07,11.4475
8.2755,273,0,2,93,283,186.59,183.53,185.06,11.4471
8.2927,274,0,2,93,283,186.59,183.52,185.06,11.4467
8.3098,275,0,2,93,283,186.58,183.52,185.05,11.4464
8.3274,276,0,2,93,283,186.58,183.51,185.05,11.4461
8.3443,277,0,2,93,283,186.57,183.51,185.04,11.4458
8.3606,278,0,2,93,283,186.57,183.51,185.04,11.4456
8.3768,279,0,2,93,283,186.56,183.50,185.03,11.4454
8.3929,280,0,2,93,283,186.56,183.50,185.03,11.4452
8.4130,281,0,2,93,283,186.56,183.50,185.03,11.4451
8.4318,282,0,2,93,283,186.56,183.50,185.03,11.4449
8.4514,283,0,2,93,283,186.56,183.49,185.02,11.4448
8.4710,284,0,2,93,283,186.55,183.49,185.02,11.4447
8.4891,285,0,2,93,283,186.55,183.49,185.02,11.4446
8.5089,286,0,2,93,283,186.55,183.49,185.02,11.4445
8.5278,287,0,2,93,283,186.55,183.49,185.02,11.4445
8.5488,288,0,2,106,281,199.90,187.35,193.63,11.9769
8.5708,289,0,2,141,282,206.04,189.24,197.64,12.2252
8.5933,290,0,2,185,278,206.14,187.10,196.62,12.1621
8.6179,291,0,2,193,280,206.88,190.15,198.51,12.2793
8.6179,291,1,4,34,237,68.37,193.98,131.17,8.1137
8.6384,292,0,2,205,287,202.76,184.71,193.73,11.9836
8.6384,292,1,4,41,243,76.22,197.52,136.87,8.4662
8.6552,293,0,2,206,286,201.37,183.86,192.62,11.9143
8.6552,293,1,4,39,241,78.73,199.51,139.12,8.6054
8.6720,294,0,2,206,286,200.83,183.54,192.19,11.8878
