timestamp_s,frame_index,box_index,track_id,cx_px,cy_px,w_px,h_px,diameter_px,diameter_cm
5.9747,1,0,-1,99,426,144.85,105.90,125.38,7.7552
6.1113,2,0,-1,174,424,145.80,111.05,128.42,7.9438
6.5927,26,0,-1,318,426,153.40,107.71,130.55,8.0754
6.6200,27,0,-1,328,424,151.58,109.68,130.63,8.0803
6.7173,32,0,-1,345,424,153.11,110.27,131.69,8.1460
6.7406,33,0,-1,345,422,151.28,112.89,132.09,8.1703
6.7603,34,0,-1,345,422,151.28,112.89,132.09,8.1703
6.7832,35,0,-1,344,423,153.38,111.87,132.63,8.2038
6.8469,38,0,-1,341,416,145.72,126.02,135.87,8.4044
6.8696,39,0,-1,346,423,151.22,110.90,131.06,8.1066
6.8903,40,0,-1,346,423,151.22,110.90,131.06,8.1066
6.9137,41,0,-1,343,423,153.08,111.98,132.53,8.1977
6.9337,42,0,-1,343,423,153.08,111.98,132.53,8.1977
6.9559,43,0,-1,344,424,152.88,109.94,131.41,8.1283
6.9767,44,0,-1,345,421,150.40,113.91,132.16,8.1747
6.9946,45,0,-1,345,421,150.40,113.91,132.16,8.1747
7.0305,46,0,5,344,423,153.71,112.51,133.11,8.2336
7.0618,47,0,5,345,422,150.44,112.11,131.27,8.1200
7.0847,48,0,5,345,423,151.71,111.38,131.55,8.1371
7.1115,49,0,5,344,423,151.83,111.64,131.73,8.1484
7.2375,55,0,-1,345,423,150.03,112.10,131.06,8.1069
7.2560,56,0,-1,345,423,150.03,112.10,131.06,8.1069
7.2757,57,0,-1,345,423,150.60,112.13,131.37,8.1257
7.2947,58,0,-1,345,423,150.60,112.13,131.37,8.1257
7.3165,59,0,5,344,422,151.20,112.85,132.02,8.1664
7.3343,60,0,5,344,422,151.16,112.88,132.02,8.1661
7.4553,66,0,-1,345,422,150.76,112.58,131.67,8.1446
7.4809,67,0,-1,345,422,151.43,112.66,132.05,8.1678
7.5554,70,0,-1,344,422,152.47,112.09,132.28,8.1822
7.5784,71,0,-1,344,423,151.70,111.76,131.73,8.1485
7.6090,72,0,-1,346,422,148.39,112.36,130.37,8.0644
7.6297,73,0,-1,346,422,148.39,112.36,130.37,8.0644
7.6544,74,0,-1,345,423,150.58,112.15,131.36,8.1255
7.6793,75,0,-1,344,423,151.57,112.09,131.83,8.1545
7.7010,76,0,-1,347,423,146.87,111.97,129.42,8.0052
7.7200,77,0,-1,347,423,146.87,111.97,129.42,8.0052
7.7428,78,0,-1,345,422,150.99,112.60,131.80,8.1525
7.7609,79,0,-1,345,422,150.99,112.60,131.80,8.1525
7.7820,80,0,5,345,423,151.51,112.02,131.76,8.1502
7.8080,81,0,5,345,423,151.59,111.84,131.71,8.1472
7.8337,82,0,5,344,423,151.63,111.81,131.72,8.1477
7.8573,83,0,5,345,423,150.76,111.93,131.34,8.1244
7.9195,86,0,-1,345,422,150.68,112.30,131.49,8.1334
7.9433,87,0,-1,345,423,149.65,112.24,130.94,8.0996
8.0544,92,0,-1,345,422,151.08,112.17,131.63,8.1419
