timestamp_s,frame_index,box_index,track_id,cx_px,cy_px,w_px,h_px,diameter_px,diameter_cm
1.9273,0,0,1,85,390,171.52,165.85,168.69,10.4341
2.1797,3,0,-1,86,389,172.84,163.19,168.01,10.3926
2.2218,4,0,-1,86,389,172.84,163.19,168.01,10.3926
2.2645,5,0,-1,85,389,170.13,162.11,166.12,10.2752
2.2979,6,0,-1,85,389,170.13,162.11,166.12,10.2752
2.3328,7,0,-1,85,389,170.13,162.11,166.12,10.2752
2.3648,8,0,-1,85,389,170.13,162.11,166.12,10.2752
2.3979,9,0,-1,85,389,170.13,162.11,166.12,10.2752
2.4315,10,0,-1,85,389,170.13,162.11,166.12,10.2752
2.9525,25,0,-1,85,388,170.44,162.34,166.39,10.2922
5.2650,93,0,-1,85,389,170.18,163.55,166.87,10.3216
5.2991,94,0,-1,85,391,171.36,167.95,169.65,10.4941
5.3333,95,0,-1,85,391,171.36,167.95,169.65,10.4941
5.3674,96,0,-1,85,391,171.36,167.95,169.65,10.4941
5.4039,97,0,-1,85,391,171.36,167.95,169.65,10.4941
7.1395,146,0,-1,626,243,25.74,139.60,82.67,5.1137
7.1747,147,0,-1,626,243,25.74,139.60,82.67,5.1137
7.2050,148,0,-1,627,291,24.07,135.01,79.54,4.9203
7.2403,149,0,-1,627,291,24.07,135.01,79.54,4.9203
13.1770,308,0,-1,634,450,9.61,58.85,34.23,2.1176
13.2129,309,0,-1,634,450,9.61,58.85,34.23,2.1176
13.2550,310,0,-1,634,450,9.61,58.85,34.23,2.1176
22.7712,532,0,-1,394,232,486.29,464.84,475.56,29.4162
35.4103,822,0,-1,467,167,84.77,82.74,83.75,5.1807
35.4597,823,0,3,467,167,84.77,82.74,83.75,5.1807
35.4938,824,0,3,467,167,84.77,82.74,83.75,5.1807
35.5321,825,0,3,467,167,84.77,82.74,83.75,5.1807
35.5700,826,0,3,467,167,84.77,82.74,83.75,5.1807
35.6119,827,0,3,467,167,84.77,82.74,83.75,5.1807
35.6476,828,0,3,467,167,84.77,82.74,83.75,5.1807
35.6844,829,0,3,467,167,84.77,82.74,83.75,5.1807
35.7203,830,0,3,467,167,84.77,82.74,83.75,5.1807
35.7590,831,0,3,467,167,84.77,82.74,83.75,5.1807
