timestamp_s,frame_index,box_index,track_id,cx_px,cy_px,w_px,h_px,diameter_px,diameter_cm
3.0732,0,0,1,193,156,165.36,163.11,164.24,10.1590
3.0732,0,1,2,54,86,109.69,171.75,140.72,8.7045
3.2211,1,0,1,193,156,165.29,162.84,164.06,10.1482
3.2211,1,1,2,54,86,109.75,171.57,140.66,8.7005
3.2428,2,0,1,193,156,165.27,162.80,164.03,10.1464
3.2428,2,1,2,54,86,109.75,171.54,140.65,8.6998
3.2600,3,0,1,193,156,165.27,162.79,164.03,10.1460
3.2600,3,1,2,54,86,109.75,171.54,140.64,8.6997
3.2784,4,0,1,193,156,165.27,162.79,164.03,10.1460
3.2784,4,1,2,54,86,109.75,171.54,140.64,8.6997
3.2948,5,0,1,193,156,165.27,162.79,164.03,10.1461
3.2948,5,1,2,54,86,109.75,171.54,140.65,8.6997
3.3135,6,0,1,193,156,165.27,162.79,164.03,10.1462
3.3135,6,1,2,54,86,109.75,171.54,140.65,8.6997
3.3315,7,0,1,193,156,165.40,162.40,163.90,10.1383
3.3315,7,1,2,55,86,109.89,171.73,140.81,8.7099
3.3507,8,0,1,193,156,165.31,163.12,164.22,10.1577
3.3507,8,1,2,55,86,110.05,171.63,140.84,8.7117
3.3702,9,0,1,193,157,165.14,162.98,164.06,10.1480
3.3702,9,1,2,55,88,110.41,173.52,141.96,8.7813
3.3890,10,0,1,193,157,164.93,163.21,164.07,10.1486
3.3890,10,1,2,55,87,110.36,174.42,142.39,8.8077
3.4080,11,0,1,194,155,165.79,161.68,163.73,10.1279
3.4080,11,1,2,55,86,110.88,172.06,141.47,8.7507
3.4241,12,0,1,194,155,165.66,161.15,163.40,10.1075
3.4241,12,1,2,55,85,110.66,171.89,141.28,8.7388
3.4404,13,0,1,194,155,165.61,160.96,163.29,10.1002
3.4404,13,1,2,55,86,110.59,171.61,141.10,8.7277
3.4566,14,0,1,194,155,165.60,160.89,163.25,10.0978
3.4566,14,1,2,55,86,110.56,171.51,141.03,8.7237
3.4732,15,0,1,194,155,165.60,160.87,163.24,10.0972
3.4732,15,1,2,55,86,110.56,171.47,141.01,8.7224
