timestamp_s,frame_index,box_index,track_id,cx_px,cy_px,w_px,h_px,diameter_px,diameter_cm
9.4692,0,0,1,99,131,197.66,263.16,230.41,14.2522
9.4692,0,1,2,553,80,172.77,160.13,166.45,10.2956
9.8009,1,0,1,99,132,197.73,263.24,230.49,14.2570
9.8009,1,1,2,553,80,172.98,160.51,166.75,10.3142
10.0365,2,0,1,102,133,200.96,263.99,232.47,14.3798
10.0365,2,1,2,554,81,168.87,160.97,164.92,10.2010
10.3839,3,0,1,138,132,251.02,264.29,257.66,15.9375
10.3839,3,1,2,583,78,112.09,156.87,134.48,8.3184
10.5298,4,0,1,202,132,292.03,264.21,278.12,17.2034
10.6946,5,0,1,247,134,306.93,266.99,286.96,17.7500
10.7942,6,0,1,291,132,319.27,265.40,292.34,18.0827
11.0395,7,0,1,327,133,317.71,266.17,291.94,18.0583
11.0912,8,0,1,376,139,314.78,269.32,292.05,18.0650
11.4769,9,0,1,390,136,314.86,271.31,293.08,18.1289
11.8060,10,0,1,505,136,269.43,269.68,269.55,16.6733
12.0511,11,0,1,514,136,251.03,270.83,260.93,16.1399
12.0511,11,1,4,62,252,122.62,237.81,180.22,11.1476
12.2544,12,0,1,517,135,245.51,271.15,258.33,15.9791
12.2544,12,1,4,61,254,123.32,234.53,178.92,11.0674
12.5546,13,0,1,518,134,243.68,269.55,256.61,15.8731
12.5546,13,1,4,61,255,123.28,230.38,176.83,10.9378
12.7811,14,0,1,518,134,242.93,269.50,256.22,15.8485
12.7811,14,1,4,61,256,123.33,228.91,176.12,10.8939
13.0805,15,0,1,518,134,242.81,269.82,256.32,15.8546
13.0805,15,1,4,61,263,123.36,216.04,169.70,10.4970
13.1219,16,0,1,518,134,242.80,269.91,256.36,15.8572
13.1219,16,1,4,61,267,123.32,207.62,165.47,10.2353
13.3230,17,0,1,518,134,242.99,269.77,256.38,15.8588
13.3230,17,1,4,61,262,123.28,217.46,170.37,10.5384
13.6018,18,0,1,518,134,243.36,269.32,256.34,15.8559
13.6018,18,1,4,61,268,123.29,205.03,164.16,10.1540
13.6402,19,0,1,518,134,243.33,269.53,256.43,15.8617
13.6402,19,1,4,61,266,123.27,209.90,166.59,10.3043
14.8353,20,0,1,518,134,243.46,269.34,256.40,15.8598
14.8353,20,1,4,61,269,123.38,203.53,163.45,10.1106
14.9207,21,0,1,543,136,192.71,269.13,230.92,14.2838
14.9207,21,1,4,99,261,164.52,224.64,194.58,12.0357
14.9855,22,0,1,569,129,141.48,258.49,199.98,12.3700
14.9855,22,1,4,127,246,209.81,240.87,225.34,13.9388
15.0459,23,0,1,582,136,114.39,265.90,190.14,11.7615
15.0459,23,1,4,143,254,235.34,243.04,239.19,14.7951
15.1107,24,0,1,592,129,94.30,259.51,176.91,10.9426
15.1107,24,1,4,152,247,257.14,248.24,252.69,15.6302
15.1701,25,0,1,600,128,78.53,251.38,164.96,10.2035
15.1701,25,1,4,169,252,261.33,251.39,256.36,15.8572
15.2261,26,0,1,604,128,69.09,243.72,156.41,9.6746
15.2261,26,1,4,178,253,264.77,248.33,256.55,15.8691
15.2851,27,0,1,613,123,53.82,222.45,138.14,8.5445
15.2851,27,1,4,194,247,264.61,248.85,256.73,15.8803
15.3458,28,0,1,621,133,37.51,191.90,114.70,7.0950
15.3458,28,1,4,214,254,261.28,248.80,255.04,15.7759
15.4077,29,0,1,629,131,21.06,149.33,85.20,5.2701
15.4077,29,1,4,232,250,259.96,245.72,252.84,15.6398
15.5238,31,0,4,260,258,258.58,244.84,251.71,15.5696
15.5840,32,0,4,297,255,220.22,246.51,233.36,14.4348
15.6434,33,0,4,305,258,246.29,250.48,248.39,15.3642
