timestamp_s,frame_index,box_index,track_id,cx_px,cy_px,w_px,h_px,diameter_px,diameter_cm
3.1941,0,0,1,193,235,383.44,463.38,423.41,26.1903
3.1941,0,1,2,544,221,189.33,371.04,280.18,17.3309
3.3392,1,0,1,191,237,381.49,472.98,427.23,26.4269
3.3392,1,1,2,538,218,200.65,365.10,282.87,17.4974
3.3563,2,0,1,191,237,381.49,474.76,428.13,26.4821
3.3563,2,1,2,538,218,202.79,364.28,283.54,17.5383
3.3722,3,0,1,191,237,381.49,475.03,428.26,26.4904
3.3722,3,1,2,538,218,203.26,364.11,283.68,17.5474
3.3868,4,0,1,191,237,381.49,475.03,428.26,26.4902
3.3868,4,1,2,538,218,203.25,364.11,283.68,17.5473
3.4007,5,0,1,191,237,381.49,474.97,428.23,26.4884
3.4007,5,1,2,538,218,203.15,364.15,283.65,17.5453
3.4142,6,0,1,191,237,381.49,474.91,428.20,26.4866
3.4142,6,1,2,538,218,203.05,364.19,283.62,17.5433
3.4288,7,0,1,191,237,381.49,474.86,428.18,26.4851
3.4288,7,1,2,538,218,202.96,364.22,283.59,17.5417
3.4436,8,0,1,191,237,381.49,474.82,428.16,26.4839
3.4436,8,1,2,538,218,202.89,364.24,283.57,17.5403
3.4579,9,0,1,191,237,381.49,474.79,428.14,26.4830
3.4579,9,1,2,538,218,202.84,364.26,283.55,17.5392
3.4786,10,0,1,191,237,381.49,474.77,428.13,26.4822
3.4786,10,1,2,538,218,202.79,364.28,283.54,17.5383
3.4946,11,0,1,192,221,384.92,434.63,409.78,25.3470
3.4946,11,1,2,538,243,202.26,419.91,311.09,19.2424
3.5134,12,0,1,194,221,387.88,433.13,410.51,25.3922
3.5134,12,1,2,538,253,202.40,438.77,320.59,19.8302
3.5731,16,0,2,541,218,197.19,368.07,282.63,17.4826
3.5873,17,0,2,541,213,196.28,358.27,277.28,17.1511
3.6034,18,0,2,541,212,195.98,355.30,275.64,17.0500
3.6166,19,0,2,541,211,195.90,354.47,275.18,17.0215
3.6315,20,0,2,541,211,195.89,354.41,275.15,17.0198
3.6470,21,0,2,541,211,195.92,354.62,275.27,17.0269
3.6636,22,0,2,541,211,195.95,354.89,275.42,17.0362
3.6779,23,0,2,541,211,195.98,355.15,275.57,17.0454
3.6940,24,0,2,541,211,196.01,355.39,275.70,17.0537
3.7085,25,0,2,541,211,196.04,355.61,275.82,17.0611
3.7215,26,0,2,541,211,196.06,355.79,275.93,17.0675
3.7390,27,0,2,541,211,196.08,355.95,276.02,17.0732
5.1052,130,0,-1,288,240,519.62,480.00,499.81,30.9161
5.1264,131,0,3,288,240,519.62,480.00,499.81,30.9161
5.1422,132,0,3,288,240,519.62,480.00,499.81,30.9161
5.1615,133,0,3,288,240,519.62,480.00,499.81,30.9161
6.2591,193,0,-1,342,268,404.91,422.07,413.49,25.5766
6.2789,194,0,-1,342,268,404.91,422.07,413.49,25.5766
7.9270,285,0,-1,237,217,471.77,429.75,450.76,27.8820
7.9451,286,0,4,237,217,471.77,429.75,450.76,27.8820
12.9160,619,0,-1,606,456,65.22,46.96,56.09,3.4694
12.9333,620,0,5,606,456,65.22,46.96,56.09,3.4694
13.0921,632,0,5,606,455,65.90,48.99,57.44,3.5533
13.1061,633,0,5,606,455,65.93,49.04,57.49,3.5559
13.1198,634,0,5,606,455,65.69,48.53,57.11,3.5327
13.1341,635,0,5,606,455,65.68,48.56,57.12,3.5334
13.3886,654,0,5,606,455,66.91,49.18,58.05,3.5905
13.4044,655,0,5,606,455,66.93,49.19,58.06,3.5914
13.4183,656,0,5,605,455,66.89,49.25,58.07,3.5922
13.4322,657,0,5,605,455,66.95,49.41,58.18,3.5986
13.4870,661,0,-1,603,454,70.94,51.14,61.04,3.7756
13.5021,662,0,-1,603,454,70.94,51.14,61.04,3.7756
13.5583,666,0,5,605,454,66.84,50.06,58.45,3.6154
13.5721,667,0,5,605,454,66.83,50.09,58.46,3.6159
13.6939,676,0,-1,605,455,67.16,49.25,58.21,3.6005
13.7101,677,0,-1,605,455,67.16,49.25,58.21,3.6005
13.7244,678,0,5,605,455,66.93,49.23,58.08,3.5926
13.7416,679,0,5,605,455,66.93,49.20,58.06,3.5916
13.8206,685,0,-1,605,455,67.21,49.53,58.37,3.6108
13.8369,686,0,-1,605,455,67.21,49.53,58.37,3.6108
13.8511,687,0,5,606,455,66.10,48.69,57.40,3.5503
13.8661,688,0,5,606,455,66.05,48.67,57.36,3.5481
13.8799,689,0,5,606,455,66.03,48.66,57.35,3.5473
13.8948,690,0,5,605,455,67.69,49.20,58.45,3.6152
13.9092,691,0,5,605,455,68.33,49.40,58.87,3.6412
13.9938,697,0,-1,606,455,66.17,49.40,57.79,3.5744
14.0123,698,0,-1,606,455,66.17,49.40,57.79,3.5744
14.2938,718,0,-1,605,454,67.01,49.89,58.45,3.6157
14.3091,719,0,-1,605,454,67.01,49.89,58.45,3.6157
14.3539,722,0,-1,605,454,68.65,49.82,59.24,3.6641
14.3690,723,0,-1,605,454,68.65,49.82,59.24,3.6641
14.3852,724,0,-1,605,454,68.65,49.82,59.24,3.6641
14.6277,742,0,-1,605,455,68.10,49.50,58.80,3.6373
14.6450,743,0,-1,605,455,68.10,49.50,58.80,3.6373
14.7864,753,0,-1,605,455,67.67,49.67,58.67,3.6293
14.8016,754,0,-1,605,455,67.67,49.67,58.67,3.6293
14.9262,763,0,-1,605,455,68.21,49.26,58.73,3.6330
14.9409,764,0,-1,605,455,68.21,49.26,58.73,3.6330
