timestamp_s,frame_index,box_index,track_id,cx_px,cy_px,w_px,h_px,diameter_px,diameter_cm
3.1392,0,0,1,290,146,160.63,161.06,160.84,9.9491
3.1392,0,1,2,116,77,179.33,154.73,167.03,10.3316
3.2909,1,0,1,290,146,160.73,160.72,160.72,9.9416
3.2909,1,1,2,116,77,179.26,154.70,166.98,10.3286
3.3121,2,0,1,290,146,160.81,160.68,160.74,9.9428
3.3121,2,1,2,116,77,179.16,154.64,166.90,10.3239
3.3299,3,0,1,290,146,160.72,160.60,160.66,9.9378
3.3299,3,1,2,116,77,179.17,154.69,166.93,10.3257
3.3485,4,0,1,290,146,160.69,160.58,160.64,9.9362
3.3485,4,1,2,116,77,179.17,154.71,166.94,10.3263
3.3656,5,0,1,290,146,160.60,160.71,160.66,9.9377
3.3656,5,1,2,116,77,179.28,155.06,167.17,10.3401
3.3833,6,0,1,290,146,160.56,160.77,160.67,9.9380
3.3833,6,1,2,116,77,179.30,155.19,167.24,10.3448
3.4020,7,0,1,291,147,160.64,161.18,160.91,9.9534
3.4020,7,1,2,116,78,179.21,155.69,167.45,10.3579
3.4195,8,0,1,291,147,160.61,161.30,160.95,9.9559
3.4195,8,1,2,116,78,179.11,155.84,167.48,10.3594
3.4392,9,0,1,291,146,160.91,158.96,159.94,9.8929
3.4392,9,1,2,117,79,179.72,157.33,168.52,10.4242
3.4591,10,0,1,294,142,162.12,160.49,161.31,9.9776
3.4591,10,1,2,118,75,180.48,151.36,165.92,10.2631
3.4760,11,0,1,293,142,161.97,160.45,161.21,9.9717
3.4760,11,1,2,118,75,180.09,150.72,165.40,10.2312
3.4945,12,0,1,293,142,161.92,160.44,161.18,9.9698
3.4945,12,1,2,118,75,179.95,150.49,165.22,10.2197
3.5156,13,0,1,303,146,163.35,160.45,161.90,10.0145
3.5359,14,0,1,310,152,161.05,158.01,159.53,9.8679
3.5517,15,0,1,311,152,160.28,157.49,158.89,9.8280
3.5721,16,0,1,317,151,160.88,154.18,157.53,9.7441
3.5721,16,1,2,145,82,173.16,161.82,167.49,10.3602
3.5905,17,0,1,317,151,161.24,153.40,157.32,9.7313
3.5905,17,1,2,145,82,172.63,163.33,167.98,10.3904
3.6145,18,0,1,321,143,161.78,153.96,157.87,9.7652
