timestamp_s,frame_index,box_index,track_id,cx_px,cy_px,w_px,h_px,diameter_px,diameter_cm
3.3292,0,0,1,237,365,287.59,227.88,257.74,15.9426
3.3292,0,1,2,553,379,172.23,201.01,186.62,11.5437
3.9467,1,0,1,259,364,293.61,229.68,261.64,16.1841
3.9467,1,1,2,563,378,152.58,202.85,177.71,10.9926
3.9878,2,0,1,323,364,294.56,229.28,261.92,16.2014
3.9878,2,1,2,593,381,92.17,195.83,144.00,8.9073
4.0057,3,0,1,323,364,294.72,228.91,261.81,16.1947
4.0057,3,1,2,592,382,90.98,193.45,142.22,8.7969
4.0057,3,2,3,34,383,69.06,192.56,130.81,8.0913
4.0240,4,0,1,323,364,294.72,228.82,261.77,16.1918
4.0240,4,1,2,591,382,89.06,192.88,140.97,8.7199
4.0240,4,2,3,34,383,69.06,192.56,130.81,8.0913
4.0458,5,0,1,323,364,294.68,228.81,261.75,16.1905
4.0458,5,1,2,591,382,88.94,192.83,140.88,8.7145
4.0458,5,2,3,34,383,69.06,192.56,130.81,8.0913
4.0649,6,0,1,323,364,294.65,228.82,261.74,16.1899
4.0649,6,1,2,591,382,89.38,192.91,141.15,8.7307
4.0649,6,2,3,34,383,69.06,192.56,130.81,8.0913
4.0868,7,0,1,323,364,294.63,228.84,261.73,16.1896
4.0868,7,1,2,591,382,89.85,193.01,141.43,8.7484
4.0868,7,2,3,34,383,69.06,192.56,130.81,8.0913
4.1117,8,0,1,323,364,294.61,228.85,261.73,16.1894
4.1117,8,1,2,592,382,90.24,193.11,141.68,8.7634
4.1117,8,2,3,34,383,69.06,192.56,130.81,8.0913
4.1316,9,0,1,323,364,294.59,228.86,261.73,16.1892
4.1316,9,1,2,592,382,90.55,193.19,141.87,8.7755
4.1316,9,2,3,34,383,69.06,192.56,130.81,8.0913
4.1502,10,0,1,323,364,294.58,228.87,261.72,16.1891
4.1502,10,1,2,592,382,90.80,193.25,142.03,8.7852
4.1502,10,2,3,34,383,69.06,192.56,130.81,8.0913
4.1695,11,0,1,323,364,294.57,228.88,261.72,16.1891
4.1695,11,1,2,592,382,91.00,193.31,142.15,8.7930
4.1695,11,2,3,34,383,69.06,192.56,130.81,8.0913
4.1866,12,0,1,323,364,294.56,228.89,261.72,16.1890
4.1866,12,1,2,592,382,91.16,193.35,142.26,8.7994
4.1866,12,2,3,34,383,69.06,192.56,130.81,8.0913
4.2030,13,0,1,323,364,294.55,228.89,261.72,16.1889
4.2030,13,1,2,592,382,91.29,193.39,142.34,8.8047
4.2030,13,2,3,34,383,69.06,192.56,130.81,8.0913
4.2225,14,0,1,323,364,294.54,228.90,261.72,16.1889
4.2225,14,1,2,592,382,91.41,193.42,142.41,8.8092
4.2225,14,2,3,34,383,69.06,192.56,130.81,8.0913
4.2388,15,0,1,323,364,294.54,228.90,261.72,16.1889
4.2388,15,1,2,592,382,91.50,193.45,142.48,8.8130
4.2388,15,2,3,34,383,69.06,192.56,130.81,8.0913
4.2568,16,0,1,323,364,294.53,228.91,261.72,16.1888
4.2568,16,1,2,592,382,91.58,193.48,142.53,8.8163
4.2568,16,2,3,34,383,69.06,192.56,130.81,8.0913
4.2734,17,0,1,323,364,294.53,228.91,261.72,16.1888
4.2734,17,1,2,592,382,91.66,193.50,142.58,8.8191
4.2734,17,2,3,34,383,69.06,192.56,130.81,8.0913
4.2908,18,0,1,323,364,294.52,228.91,261.72,16.1888
4.2908,18,1,2,593,382,91.72,193.51,142.62,8.8216
4.2908,18,2,3,34,383,69.06,192.56,130.81,8.0913
4.3071,19,0,1,323,364,294.52,228.91,261.72,16.1887
4.3071,19,1,2,593,382,91.77,193.53,142.65,8.8237
4.3071,19,2,3,34,383,69.06,192.56,130.81,8.0913
4.3280,20,0,1,323,364,294.52,228.92,261.72,16.1887
4.3280,20,1,2,593,382,91.82,193.54,142.68,8.8256
4.3280,20,2,3,34,383,69.06,192.56,130.81,8.0913
4.3540,21,0,1,392,359,305.01,241.41,273.21,16.8996
4.3540,21,1,3,70,374,109.33,210.37,159.85,9.8876
4.3736,22,0,1,393,358,302.71,242.25,272.48,16.8546
4.3736,22,1,3,66,372,121.65,213.81,167.73,10.3750
4.3932,23,0,1,393,358,301.88,242.16,272.02,16.8260
4.3932,23,1,3,64,371,127.24,214.87,171.06,10.5808
4.4144,24,0,1,394,358,301.60,242.13,271.87,16.8165
4.4144,24,1,3,64,371,128.16,215.24,171.70,10.6204
4.4373,25,0,1,394,358,301.53,242.13,271.83,16.8140
4.4373,25,1,3,64,371,128.26,215.34,171.80,10.6267
4.4573,26,0,1,394,358,301.53,242.13,271.83,16.8141
4.4573,26,1,3,64,371,128.28,215.34,171.81,10.6274
4.4776,27,0,1,394,358,301.56,242.13,271.84,16.8151
4.4776,27,1,3,64,371,128.26,215.31,171.79,10.6261
4.4982,28,0,1,394,358,301.59,242.14,271.86,16.8163
4.4982,28,1,3,64,371,128.24,215.27,171.76,10.6241
4.5182,29,0,1,394,358,301.62,242.14,271.88,16.8174
4.5182,29,1,3,64,371,128.21,215.23,171.72,10.6220
4.5357,30,0,1,394,358,301.65,242.14,271.90,16.8185
4.5357,30,1,3,64,371,128.18,215.20,171.69,10.6200
4.5565,31,0,1,393,358,301.68,242.15,271.91,16.8194
4.5565,31,1,3,64,371,128.16,215.16,171.66,10.6182
4.5747,32,0,1,393,358,301.71,242.15,271.93,16.8203
4.5747,32,1,3,64,371,128.13,215.13,171.63,10.6165
4.5947,33,0,1,393,358,301.73,242.15,271.94,16.8210
4.5947,33,1,3,64,371,128.11,215.10,171.61,10.6150
4.6141,34,0,1,393,358,301.74,242.16,271.95,16.8217
4.6141,34,1,3,64,371,128.09,215.08,171.59,10.6136
4.6344,35,0,1,393,358,301.76,242.16,271.96,16.8223
4.6344,35,1,3,64,371,128.08,215.06,171.57,10.6124
4.6633,36,0,1,482,355,288.31,244.41,266.36,16.4757
4.6633,36,1,3,118,365,180.30,217.10,198.70,12.2907
4.6900,37,0,1,496,356,287.11,247.14,267.13,16.5234
4.6900,37,1,3,117,368,208.24,221.71,214.97,13.2974
4.7131,38,0,1,503,360,272.69,238.32,255.51,15.8045
4.7131,38,1,3,121,372,227.02,214.27,220.65,13.6483
4.7304,39,0,1,504,360,271.55,238.20,254.87,15.7653
4.7304,39,1,3,117,372,234.94,214.71,224.82,13.9066
4.7467,40,0,1,504,360,271.22,237.48,254.35,15.7327
4.7467,40,1,3,117,372,235.03,214.56,224.79,13.9048
4.7648,41,0,1,504,360,271.17,237.17,254.17,15.7220
4.7648,41,1,3,117,372,235.03,214.33,224.68,13.8977
4.7796,42,0,1,504,360,271.23,237.06,254.15,15.7205
4.7796,42,1,3,117,372,235.01,214.22,224.61,13.8936
4.7959,43,0,1,504,360,271.33,237.03,254.18,15.7223
4.7959,43,1,3,117,372,234.98,214.16,224.57,13.8908
4.8130,44,0,1,504,360,271.42,237.02,254.22,15.7251
4.8130,44,1,3,117,372,234.95,214.12,224.53,13.8886
4.8283,45,0,1,504,360,271.51,237.03,254.27,15.7279
4.8283,45,1,3,117,372,234.91,214.09,224.50,13.8867
4.8431,46,0,1,504,360,271.59,237.03,254.31,15.7306
4.8431,46,1,3,117,372,234.88,214.06,224.47,13.8849
4.8606,47,0,1,504,360,271.66,237.04,254.35,15.7330
4.8606,47,1,3,117,372,234.85,214.04,224.45,13.8834
4.8806,48,0,1,508,359,263.75,237.16,250.46,15.4923
4.8806,48,1,3,120,371,240.53,214.64,227.59,14.0776
4.8969,49,0,1,508,360,263.91,236.93,250.42,15.4899
4.8969,49,1,3,120,372,240.21,214.60,227.40,14.0662
4.9143,50,0,1,507,361,263.39,236.85,250.12,15.4714
4.9143,50,1,3,119,372,239.92,214.57,227.24,14.0563
4.9309,51,0,1,507,361,263.08,236.82,249.95,15.4609
4.9309,51,1,3,119,372,239.80,214.55,227.18,14.0521
4.9569,52,0,1,524,356,230.46,238.63,234.55,14.5080
4.9569,52,1,3,141,370,259.45,214.42,236.93,14.6557
4.9794,53,0,1,524,353,230.36,245.44,237.90,14.7156
4.9794,53,1,3,133,367,267.64,220.76,244.20,15.1052
4.9984,54,0,1,525,354,228.27,247.38,237.83,14.7109
4.9984,54,1,3,133,367,267.50,222.74,245.12,15.1620
5.0168,55,0,1,524,355,227.17,248.06,237.61,14.6977
5.0168,55,1,3,133,367,267.44,223.44,245.44,15.1820
5.0430,56,0,1,524,355,226.92,248.25,237.59,14.6960
5.0430,56,1,3,133,367,267.42,223.65,245.54,15.1879
5.0624,57,0,1,524,355,226.97,248.26,237.62,14.6980
5.0624,57,1,3,133,367,267.42,223.67,245.55,15.1884
5.0796,58,0,1,524,355,227.12,248.21,237.67,14.7009
5.0796,58,1,3,133,367,267.42,223.63,245.52,15.1871
5.0974,59,0,1,524,355,227.28,248.15,237.71,14.7039
5.0974,59,1,3,133,367,267.42,223.57,245.49,15.1853
5.1152,60,0,1,524,355,227.44,248.08,237.76,14.7066
5.1152,60,1,3,133,367,267.42,223.51,245.46,15.1833
5.1359,61,0,1,524,355,227.58,248.01,237.79,14.7089
5.1359,61,1,3,133,367,267.42,223.45,245.43,15.1815
5.1590,62,0,1,526,357,226.04,244.19,235.12,14.5434
5.1590,62,1,3,135,370,269.32,219.19,244.26,15.1086
5.1782,63,0,1,526,357,225.89,244.68,235.28,14.5537
5.1782,63,1,3,135,370,270.16,219.06,244.61,15.1307
5.1984,64,0,1,526,357,225.89,244.41,235.15,14.5454
5.1984,64,1,3,135,370,270.36,218.59,244.47,15.1220
5.2198,65,0,1,527,360,223.74,238.20,230.97,14.2870
5.2198,65,1,3,137,372,271.42,214.75,243.09,15.0362
5.2419,66,0,1,526,358,225.14,239.74,232.44,14.3778
5.2419,66,1,3,135,370,271.40,215.53,243.47,15.0597
5.2595,67,0,1,526,359,225.54,240.09,232.82,14.4010
5.2595,67,1,3,135,371,271.23,215.83,243.53,15.0639
5.2769,68,0,1,526,359,225.72,240.23,232.98,14.4108
5.2769,68,1,3,135,371,271.17,215.95,243.56,15.0656
5.2949,69,0,1,526,359,225.82,240.28,233.05,14.4155
5.2949,69,1,3,135,371,271.15,216.00,243.57,15.0664
5.3142,70,0,1,526,359,225.88,240.30,233.09,14.4180
5.3142,70,1,3,135,371,271.14,216.02,243.58,15.0668
5.3330,71,0,1,526,359,225.92,240.31,233.12,14.4196
5.3330,71,1,3,135,371,271.10,216.03,243.57,15.0659
5.3502,72,0,1,526,359,225.96,240.32,233.14,14.4208
5.3502,72,1,3,135,371,271.03,216.03,243.53,15.0638
5.3691,73,0,1,526,359,225.98,240.32,233.15,14.4218
5.3691,73,1,3,135,371,270.97,216.03,243.50,15.0619
5.3888,74,0,1,526,359,226.01,240.32,233.17,14.4226
5.3888,74,1,3,135,371,270.91,216.04,243.47,15.0602
5.4079,75,0,1,526,359,226.03,240.32,233.18,14.4233
5.4079,75,1,3,135,371,270.86,216.04,243.45,15.0586
5.4276,76,0,1,526,359,226.05,240.33,233.19,14.4240
5.4276,76,1,3,135,371,270.81,216.04,243.43,15.0573
5.4512,77,0,1,526,359,226.07,240.33,233.20,14.4245
5.4512,77,1,3,135,371,270.77,216.04,243.41,15.0561
5.4751,78,0,1,526,357,226.11,243.18,234.65,14.5141
5.4751,78,1,3,135,370,270.68,218.20,244.44,15.1201
5.4978,79,0,1,527,359,224.52,240.22,232.37,14.3734
5.4978,79,1,3,136,372,270.10,215.77,242.94,15.0269
5.5214,80,0,1,527,359,224.37,239.60,231.99,14.3497
5.5214,80,1,3,136,372,270.33,215.08,242.71,15.0127
5.5418,81,0,1,527,359,224.33,239.32,231.82,14.3395
5.5418,81,1,3,136,372,270.40,214.83,242.62,15.0072
5.5600,82,0,1,527,359,224.32,239.21,231.77,14.3362
5.5600,82,1,3,136,372,270.42,214.74,242.58,15.0049
5.5791,83,0,1,527,359,224.33,239.18,231.76,14.3354
5.5791,83,1,3,136,372,270.42,214.71,242.56,15.0040
5.5982,84,0,1,527,359,224.34,239.18,231.76,14.3356
5.5982,84,1,3,136,372,270.41,214.71,242.56,15.0035
5.6150,85,0,1,527,359,224.35,239.18,231.77,14.3361
5.6150,85,1,3,136,372,270.39,214.71,242.55,15.0033
5.6346,86,0,1,527,359,224.37,239.18,231.78,14.3366
5.6346,86,1,3,136,372,270.38,214.72,242.55,15.0031
5.6517,87,0,1,527,359,224.38,239.19,231.78,14.3371
5.6517,87,1,3,136,372,270.37,214.73,242.55,15.0030
5.6709,88,0,1,527,359,224.39,239.20,231.79,14.3376
5.6709,88,1,3,136,372,270.36,214.73,242.55,15.0029
5.6940,89,0,1,526,358,225.33,240.06,232.70,14.3937
5.6940,89,1,3,135,370,269.86,215.88,242.87,15.0229
5.7128,90,0,1,526,358,225.70,240.42,233.06,14.4160
5.7128,90,1,3,136,371,269.67,216.35,243.01,15.0316
5.7332,91,0,1,526,359,225.84,240.55,233.19,14.4244
5.7332,91,1,3,136,371,269.60,216.52,243.06,15.0347
5.7529,92,0,1,526,359,225.89,240.60,233.24,14.4274
5.7529,92,1,3,136,371,269.57,216.58,243.08,15.0357
5.7744,93,0,1,526,359,225.91,240.61,233.26,14.4284
5.7744,93,1,3,136,371,269.56,216.60,243.08,15.0360
5.7947,94,0,1,527,358,225.94,241.66,233.80,14.4621
5.7947,94,1,3,135,370,270.28,217.79,244.04,15.0952
5.8135,95,0,1,527,358,225.78,241.82,233.80,14.4618
5.8135,95,1,3,135,370,270.09,218.05,244.07,15.0972
5.8317,96,0,1,526,358,225.65,241.88,233.76,14.4596
5.8317,96,1,3,135,370,270.02,218.15,244.08,15.0978
5.8525,97,0,1,526,358,225.61,241.89,233.75,14.4588
5.8525,97,1,3,135,370,269.99,218.17,244.08,15.0979
5.8712,98,0,1,526,358,225.59,241.90,233.74,14.4584
5.8712,98,1,3,135,370,269.98,218.18,244.08,15.0978
5.8875,99,0,1,526,358,225.59,241.89,233.74,14.4583
5.8875,99,1,3,135,370,269.98,218.18,244.08,15.0977
5.9065,100,0,1,526,358,225.59,241.89,233.74,14.4582
5.9065,100,1,3,135,370,269.99,218.17,244.08,15.0976
5.9252,101,0,1,526,358,225.60,241.88,233.74,14.4582
5.9252,101,1,3,135,370,269.99,218.16,244.07,15.0974
5.9458,102,0,1,526,358,225.60,241.88,233.74,14.4582
5.9458,102,1,3,135,370,269.99,218.15,244.07,15.0973
5.9679,103,0,1,527,359,224.98,240.64,232.81,14.4006
5.9679,103,1,3,136,370,270.12,217.14,243.63,15.0698
5.9872,104,0,1,527,359,224.96,240.31,232.64,14.3900
5.9872,104,1,3,136,370,270.41,216.86,243.64,15.0704
6.0090,105,0,1,526,357,225.99,241.79,233.89,14.4671
6.0090,105,1,3,135,369,269.65,218.41,244.03,15.0946
6.0309,106,0,1,526,358,226.04,241.97,234.01,14.4746
6.0309,106,1,3,135,369,269.35,218.39,243.87,15.0848
6.0533,107,0,1,526,358,226.24,242.29,234.27,14.4906
6.0533,107,1,3,135,369,269.20,218.88,244.04,15.0953
6.0718,108,0,1,526,358,226.17,242.33,234.25,14.4896
6.0718,108,1,3,135,369,268.99,218.99,243.99,15.0923
6.0888,109,0,1,526,358,226.14,242.34,234.24,14.4891
6.0888,109,1,3,135,369,268.92,219.03,243.97,15.0911
6.1075,110,0,1,526,358,226.13,242.34,234.24,14.4889
6.1075,110,1,3,135,369,268.90,219.04,243.97,15.0907
6.1265,111,0,1,526,358,226.13,242.34,234.23,14.4887
6.1265,111,1,3,135,369,268.89,219.04,243.96,15.0906
6.1468,112,0,1,526,358,226.13,242.34,234.23,14.4885
6.1468,112,1,3,135,369,268.90,219.03,243.96,15.0906
6.1641,113,0,1,526,358,226.13,242.33,234.23,14.4884
6.1641,113,1,3,135,369,268.90,219.03,243.96,15.0906
6.1821,114,0,1,526,358,226.13,242.33,234.23,14.4883
6.1821,114,1,3,135,369,268.91,219.02,243.96,15.0906
6.2013,115,0,1,526,358,226.13,242.33,234.23,14.4882
6.2013,115,1,3,135,369,268.91,219.02,243.97,15.0906
6.2235,116,0,1,527,358,225.37,241.61,233.49,14.4427
6.2235,116,1,3,136,370,269.56,217.60,243.58,15.0668
6.2435,117,0,1,527,358,225.24,241.41,233.32,14.4324
6.2435,117,1,3,135,370,269.97,217.12,243.54,15.0646
6.2643,118,0,1,527,358,225.19,241.34,233.26,14.4286
6.2643,118,1,3,135,370,270.12,216.94,243.53,15.0638
6.2876,119,0,1,526,358,225.39,241.12,233.25,14.4281
6.2876,119,1,3,135,370,269.81,216.94,243.38,15.0542
6.3097,120,0,1,526,358,225.89,241.74,233.82,14.4630
6.3097,120,1,3,135,369,269.60,218.22,243.91,15.0872
6.3314,121,0,1,526,358,225.97,241.91,233.94,14.4706
6.3314,121,1,3,135,369,269.39,218.65,244.02,15.0940
6.3512,122,0,1,526,358,226.00,241.97,233.99,14.4734
6.3512,122,1,3,135,369,269.31,218.81,244.06,15.0965
6.3695,123,0,1,526,358,226.01,242.00,234.00,14.4744
6.3695,123,1,3,135,369,269.28,218.87,244.07,15.0974
6.3896,124,0,1,526,358,226.01,242.00,234.01,14.4747
6.3896,124,1,3,135,369,269.27,218.88,244.08,15.0977
6.4087,125,0,1,526,358,226.01,242.01,234.01,14.4748
6.4087,125,1,3,135,369,269.27,218.89,244.08,15.0977
6.4321,126,0,1,526,358,225.96,242.16,234.06,14.4778
6.4321,126,1,3,135,369,269.41,218.83,244.12,15.1001
6.4528,127,0,1,526,358,225.87,242.17,234.02,14.4754
6.4528,127,1,3,135,369,269.38,218.77,244.07,15.0974
6.4742,128,0,1,526,358,225.83,242.17,234.00,14.4744
6.4742,128,1,3,135,369,269.37,218.75,244.06,15.0964
6.4956,129,0,1,526,358,225.82,242.17,234.00,14.4740
6.4956,129,1,3,135,369,269.37,218.74,244.05,15.0960
6.5179,130,0,1,527,358,225.57,241.62,233.60,14.4492
6.5179,130,1,3,135,370,269.66,217.71,243.68,15.0733
6.5394,131,0,1,527,358,225.50,240.98,233.24,14.4273
6.5394,131,1,3,135,370,269.73,217.21,243.47,15.0600
6.5582,132,0,1,527,358,225.56,240.78,233.17,14.4229
6.5582,132,1,3,135,370,269.85,217.05,243.45,15.0588
6.5770,133,0,1,527,358,225.58,240.71,233.14,14.4213
6.5770,133,1,3,135,370,269.89,217.00,243.44,15.0584
6.5968,134,0,1,527,358,225.59,240.68,233.14,14.4208
6.5968,134,1,3,135,370,269.91,216.98,243.44,15.0583
6.6166,135,0,1,527,358,225.59,240.68,233.14,14.4207
6.6166,135,1,3,135,370,269.91,216.98,243.44,15.0583
6.6362,136,0,1,527,358,225.59,240.68,233.14,14.4208
6.6362,136,1,3,135,370,269.91,216.98,243.44,15.0583
6.6552,137,0,1,527,358,225.59,240.68,233.14,14.4209
6.6552,137,1,3,135,370,269.90,216.98,243.44,15.0584
